"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes"
61873,"201411010ATL","NBA",1,2015,"11/1/2014",3,0,"IND","Pacers",92,1524.3203,1516.1642,42.219063,"ATL","Hawks",102,1485.8804,1494.0365,"A","L",0.41232353,"NULL"
61873,"201411010ATL","NBA",0,2015,"11/1/2014",2,0,"ATL","Hawks",102,1485.8804,1494.0365,39.898594,"IND","Pacers",92,1524.3203,1516.1642,"H","W",0.58767647,"NULL"
61874,"201411010CHO","NBA",1,2015,"11/1/2014",3,0,"MEM","Grizzlies",71,1592.4651,1597.6534,50.586613,"CHO","Hornets",69,1512.225,1507.0366,"A","W",0.47159386,"NULL"
61874,"201411010CHO","NBA",0,2015,"11/1/2014",2,0,"CHO","Hornets",69,1512.225,1507.0366,41.261978,"MEM","Grizzlies",71,1592.4651,1597.6534,"H","L",0.52840614,"NULL"
61875,"201411010DET","NBA",1,2015,"11/1/2014",2,0,"BRK","Nets",102,1502.0939,1512.8772,41.8745,"DET","Pistons",90,1381.8267,1371.0433,"A","W",0.5291338,"NULL"
61875,"201411010DET","NBA",0,2015,"11/1/2014",3,0,"DET","Pistons",90,1381.8267,1371.0433,27.517117,"BRK","Nets",102,1502.0939,1512.8772,"H","L",0.47086617,"NULL"
61876,"201411010GSW","NBA",1,2015,"11/1/2014",4,0,"LAL","Lakers",104,1400.4835,1396.1412,29.912357,"GSW","Warriors",127,1602.8633,1607.2056,"A","L",0.14923191,"NULL"
61876,"201411010GSW","NBA",0,2015,"11/1/2014",2,0,"GSW","Warriors",127,1602.8633,1607.2056,51.52824,"LAL","Lakers",104,1400.4835,1396.1412,"H","W",0.85076809,"NULL"
61877,"201411010HOU","NBA",0,2015,"11/1/2014",3,0,"HOU","Rockets",104,1614.0786,1616.8905,52.470966,"BOS","Celtics",90,1394.7191,1391.9072,"H","W",0.86275715,"NULL"
61877,"201411010HOU","NBA",1,2015,"11/1/2014",2,0,"BOS","Celtics",90,1394.7191,1391.9072,29.501928,"HOU","Rockets",104,1614.0786,1616.8905,"A","L",0.13724285,"NULL"
